Date,Open,High,Low,Close/Price,Volume
1/22/2020,77.07,77.11,75.46,75.61,1501614
1/23/2020,75.67,75.97,74.21,74.47,1279050
1/24/2020,74.97,76.19,72.37,73,1660195
1/27/2020,71.33,72.13,70.32,70.44,1750696
1/28/2020,71,72.48,70.26,71.51,1598234
1/29/2020,72.51,74.14,71.21,73.58,1374490
1/30/2020,73.1,74.8,72.55,74.54,1425377
1/31/2020,74.27,76.67,73.3,76.3,2521702
2/3/2020,77.69,88.94,77.51,87.66,13023449
2/4/2020,91.04,93.3,83.5,85.79,10611018
2/5/2020,85.77,90.97,83.76,86.99,5126835
2/6/2020,87,89.44,85.26,87.26,2410793
2/7/2020,87.23,90.6,86.81,88.64,2636910
2/10/2020,89.09,89.98,86.91,89.67,2071618
2/11/2020,90,90.5,87.93,88.68,2731896
2/12/2020,88.66,89.5,86.52,88.28,1671131
2/13/2020,87.61,91.93,87,89.86,3406429
2/14/2020,90.88,91.71,89.81,90.95,2295039
2/18/2020,93.02,98.14,92.4,96.39,5669685
2/19/2020,100.32,105.08,99.75,103.93,7793793
2/20/2020,104,110.75,101.43,105.29,11293189
2/21/2020,104.03,104.29,98.09,101.76,5535908
2/24/2020,97.8,110,97.02,105.01,12172751
2/25/2020,108.52,111.8,104.47,107.08,13425942
2/26/2020,109.94,111.3,105.6,106.88,6885393
2/27/2020,109.43,118,107.6,113.55,13511847
2/28/2020,121.07,121.93,97.37,105,21710989
3/2/2020,109.35,114.5,102.5,113.11,10157444
3/3/2020,114.55,119.2,112.11,117.47,11033675
3/4/2020,118.51,119.97,113.11,116.8,12102566
3/5/2020,110.25,129.83,110,125,28149364
3/6/2020,119.65,122,107,114.32,22975681
3/9/2020,105,116.5,100.88,113.75,14571293
3/10/2020,113.8,113.8,105,108.49,10244041
3/11/2020,108.41,113.99,107,110.3,12594394
3/12/2020,106.25,113.87,104.39,109.47,12097921
3/13/2020,113,113.8,104.16,107.47,9233528
3/16/2020,105,119.87,103.2,107.86,17210658
3/17/2020,107.33,113.83,102,111.1,18721520
3/18/2020,111,119,108.85,118.71,13594333
3/19/2020,122.95,132.23,119.1,123.77,16248378
3/20/2020,129,135.98,124,130.55,13872634
3/23/2020,142,164.94,137.25,159.56,27681459
3/24/2020,154,155,133.88,135.18,22401325
3/25/2020,140.11,149,136.2,138.11,14743014
3/26/2020,140.51,146.65,138.2,141.15,9284038
3/27/2020,145.7,154.97,145.6,151.7,13271899
3/30/2020,160.76,161.69,147.2,150.88,15762176
3/31/2020,147.02,149.79,143.36,146.12,10023701
4/1/2020,144.5,144.6,135.18,137,11453262
4/2/2020,125.3,133.49,114.5,121.93,27313753
4/3/2020,124.3,128.48,120.11,128.2,12238129
4/6/2020,113.63,125.17,108.53,122.94,25378936
4/7/2020,118.01,118.44,109.57,113.75,20166162
4/8/2020,115.02,125.88,112.5,117.81,26243288
4/9/2020,117.8,125.5,114,124.51,15512973
4/13/2020,127,136.86,125.6,135.92,15411680
4/14/2020,141.07,145.2,139.01,141.89,11679919
4/15/2020,141.71,152.57,140,151.56,14193277
4/16/2020,149.92,154.25,146.8,150.26,15138170
4/17/2020,147.91,153.79,144.03,150.06,11328414
4/20/2020,153.3,155,148.25,148.99,11218689
4/21/2020,151.42,154.75,138.36,143.27,9709142
4/22/2020,147.1,152.28,145.1,150.25,6552834
4/23/2020,154.01,169.75,153.49,169.09,22159845
4/24/2020,177.15,181.5,158.3,158.8,44049511
4/27/2020,156.59,167.85,155,164.6,19783693
4/28/2020,165,166,155.25,156.72,13477842
4/29/2020,147.98,151,143.38,146.48,22033320
4/30/2020,139.99,143.8,133.68,135.17,16682256
5/1/2020,136,141.63,132.67,138.56,13806992
5/4/2020,140.77,144.98,140.45,143.44,9184748
5/5/2020,144.43,148.44,140.86,144.82,7376349
5/6/2020,145.47,150.74,144.09,149.59,6031085
5/7/2020,154.84,162,154.04,157.8,8388863
5/8/2020,160,161.16,152.7,155.4,7079101
5/11/2020,159.43,168,158,166.48,10142713
5/12/2020,168,168.23,160.05,161.04,7102604
5/13/2020,163.61,171.5,159.17,167.14,11081302
5/14/2020,168.26,170.8,162.89,167.91,6730504
5/15/2020,166.75,175.44,166.56,174.83,8540460
5/18/2020,170.03,173.44,162.64,164.69,9636750
5/19/2020,167,173.86,166.21,173.68,8485526
5/20/2020,173.53,175.64,170.53,175.48,6910014
5/21/2020,175.96,177.8,168.36,172.03,5525274
5/22/2020,171.86,175.89,170.2,171.06,4302150
5/26/2020,169.1,169.69,163.12,164,6689691
5/27/2020,158.01,162.22,149.16,161.97,10076711
5/28/2020,159.23,169.4,159.2,163.55,6393691
5/29/2020,168,179.99,167.86,179.48,15311278
6/1/2020,183.18,205.87,183,204.15,24394389
6/2/2020,210.25,212.69,197.32,208.08,36853399
6/3/2020,211.7,224.46,202.32,223.87,32390121
6/4/2020,221,223,207.6,210.35,20212598
6/5/2020,200.11,208.94,196.1,207.6,16298729
6/8/2020,204.35,211.44,198.66,209.83,10457504
6/9/2020,209.83,210.59,202.93,205.43,7521808
6/10/2020,208.89,221.53,208.26,221.02,12241109
6/11/2020,219.18,232,218.5,222.07,17615754
6/12/2020,224.79,231.45,216.75,219.52,8780413
6/15/2020,227.84,239.59,226.38,239.02,13959080
6/16/2020,235.99,243.5,231.82,242.56,11333313
6/17/2020,243.18,243.88,235.12,236.76,11704326
6/18/2020,240.39,242.61,238.22,241.57,9340944
6/19/2020,241.64,243.57,238.7,243.48,10077543
